Session,Character,Success Rate (%)
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,28422390,21.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fd5936f9,134.52499999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b0455055,19.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,01036bf3,27.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1d40c29f,21.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #296,46.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #297,36.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,be717d80,102.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e2915746,110.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,baeb493b,15.524999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,38adc332,16.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,26d917ed,87.72500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8998b3a5,34.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3064e25f,12.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,dbd6b3ae,33.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7b232c96,9.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,cfc017d0,12.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d34a98a4,15.524999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #310,17.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #311,44.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #312,7.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #313,5.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #314,32.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #315,9.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #316,34.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #317,50.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #318,7.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #320,17.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #321,59.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b935f0da,30.124999999999996
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fb2725fb,48.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8247420c,51.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4be809ab,74.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4143add9,10.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,95b26db6,27.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c7dd5f23,61.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b1734d69,88.72500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d73dede8,35.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,249148fb,42.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9f6750bb,63.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8489b671,24.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,479c1ae0,86.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d062d475,48.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b4b3a975,30.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c3a6d101,91.72500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7e5edf1a,14.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2b39a856,46.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a2b316b6,56.925000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,54847484,33.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1863670f,94.72500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,989ae3a2,65.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b71ca863,30.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9ecd4bae,61.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6cd840f7,44.925000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,91d8d172,50.925000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,40045d95,24.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8e0d14fa,18.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,186b504b,11.024999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6adc9d99,100.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,15ac0bb0,26.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,94bb45d4,51.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9fa53c7f,21.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,aee80055,17.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,daf76ff2,52.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ddf13167,24.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a1e6257e,39.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,19caafd2,83.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ead3250c,5.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b7189195,93.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6b1380c2,66.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d695ee72,13.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,749db01d,10.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9ec9ac7e,69.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9566b3cd,54.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4455fc46,57.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d1c7a3d6,40.025000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,323bcab6,64.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f34f760f,64.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ecac1506,37.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,98ec5378,22.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c9031e55,91.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6a1318ab,8.924999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,77479897,20.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fcf7d5cd,46.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f66dea7a,47.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,28c5c713,50.925000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b72e30d0,29.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d286737f,29.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,67925d7b,21.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b0dbb521,37.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3c416476,29.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,542bb6bf,52.925000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c1701978,56.825
